ID,ID_recolecciones,Ubicacion,sameAs,Capacidad,Razon,Porcentaje_llenado,Tiempo_respuestas_h,Recolecciones,Promedio_llenado_dias,Material
1528808,15288082021-10-20T13-55Z,"Calle de José del Hierro, Madrid",https://wikidata.org/entity/Q29910699,Alto,Llenado,80,12,2021-10-20T13:55:00Z,5.2,Botellas/latas
1528808,15288082021-10-25T10-46Z,"Calle de José del Hierro, Madrid",https://wikidata.org/entity/Q29910699,Alto,Llenado,80,252,2021-10-25T10:46:00Z,5.2,Botellas/latas
1528808,15288082021-10-30T07-46Z,"Calle de José del Hierro, Madrid",https://wikidata.org/entity/Q29910699,Alto,Rutinaria,20,,2021-10-30T07:46:00Z,5.2,Botellas/latas
1528808,15288082021-11-02T12-11Z,"Calle de José del Hierro, Madrid",https://wikidata.org/entity/Q29910699,Alto,Rutinaria,40,,2021-11-02T12:11:00Z,5.2,Botellas/latas
1528809,15288092021-10-23T07-22Z,Calle de Preciados,https://wikidata.org/entity/Q5552155,Alto,Llenado,80,120,2021-10-23T07:22:00Z,58.4,Residuos
1528810,15288102021-10-08T14-22Z,"Calle de Serrano Galvache, Madrid",https://wikidata.org/entity/Q54370755,Medio,Llenado,80,12,2021-10-08T14:22:00Z,33.3,Papel/Cartón
1528810,15288102021-11-04T07-05Z,"Calle de Serrano Galvache, Madrid",https://wikidata.org/entity/Q54370755,Medio,Llenado,80,36,2021-11-04T07:05:00Z,33.3,Papel/Cartón
1528817,15288172021-10-15T13-15Z,"Calle de Sevilla, Madrid",https://wikidata.org/entity/Q20908843,Alto,Rutinaria,0,,2021-10-15T13:15:00Z,20.3,Residuos
1528818,15288182021-10-08T08-43Z,calle del Conde Duque,https://wikidata.org/entity/Q27031730,Medio,Rutinaria,20,,2021-10-08T08:43:00Z,14.4,Residuos
1528818,15288182021-10-22T19-58Z,calle del Conde Duque,https://wikidata.org/entity/Q27031730,Medio,Llenado,80,12,2021-10-22T19:58:00Z,14.4,Residuos
1528819,15288192021-11-02T11-05Z,"Calle de Fernando el Católico, Madrid",https://wikidata.org/entity/Q27243299,Alto,Llenado,80,12,2021-11-02T11:05:00Z,43,Residuos
1528820,15288202021-10-07T09-36Z,"Calle de Recoletos, Madrid",https://wikidata.org/entity/Q52664831,Bajo,Llenado,80,28.79,2021-10-07T09:36:00Z,21.7,Botellas/latas
1528822,15288222021-10-15T13-11Z,"Calle de Sevilla, Madrid",https://wikidata.org/entity/Q20908843,Alto,Rutinaria,0,,2021-10-15T13:11:00Z,,Botellas/latas
1528822,15288222021-10-15T13-21Z,"Calle de Sevilla, Madrid",https://wikidata.org/entity/Q20908843,Alto,Alerta,0,12,2021-10-15T13:21:00Z,,Botellas/latas
